Name;Origin;Discipline;Biography;Photo Profile
AALERUD Katrine;Norway;Cycling Road;Katrine Aalerud (born 4 December 1994) is a Norwegian professional racing cyclist, who currently rides for UCI Women's WorldTeam Uno-X Mobility. She rode in the women's road race at the 2016 UCI Road World Championships, finishing in 39th place.;https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Katrine_Aalerud_VM_2016_%28cropped%29.jpg/960px-Katrine_Aalerud_VM_2016_%28cropped%29.jpg
ABAD Nestor;Spain;Artistic Gymnastics;Néstor Abad Sanjuan (born 29 March 1993) is a Spanish male artistic gymnast. He represented Spain at the 2016, 2020, and 2024 Olympics Games. Additionally he competed at the inaugural Youth Olympic Games in 2010 where he won three medals.;https://upload.wikimedia.org/wikipedia/commons/e/e6/European_Championships_2022-08-16_Nestor_Abad_3_%28Norman_Seibert%29.jpg
ABAGNALE Giovanni;Italy;Rowing;"Giovanni Abagnale (born 11 January 1995) is an Italian rower. He competed in the men's coxless pair event at the 2016 Summer Olympics. and the coxless Pair at the 2020 Summer Olympics.
He won a silver medal at the 2017 World Rowing Championships in the coxless four. Abagnale is an athlete of the Gruppo Sportivo della Marina Militare.";https://d3fpn4c9813ycf.cloudfront.net/personPhoto/02ed63d1-5de0-476e-972b-98f918370614/42355X8027.jpg
ABALDE Alberto;Spain;Basketball;Alberto Abalde Díaz (born 15 December 1995) is a Spanish professional basketball player for Real Madrid of the Spanish Liga ACB and the EuroLeague. He has experience on the Spain under-18 and under-20 national teams, having won the bronze and silver medals on the international stage.;https://www.proballers.com/media/cache/resize_600_png/https---www.proballers.com/ul/player/abalde2-1ef840d1-7fe7-652e-aa05-498b4400d7ff.png
ABALDE Tamara;Spain;Basketball;Tamara Abalde Díaz (born 6 February 1989 in Ferrol) is a Spanish basketball player, currently player for Spanish team Durán Maquinaria Ensino. She played for Spain in the 2008 Summer Games and for the Lamar Cardinals in the NCAA. She is 6 feet, one inch, and weighs 159 pounds.;https://d31u1w5651ly23.cloudfront.net/articulos/articulos-122057.jpg
ABALO Luc;France;Handball;Luc Abalo, born on September 6, 1984, in Ivry-sur-Seine, is a French retired handball player. He has had a distinguished career, winning gold medals at the 2008, 2012, and 2020 Olympics, as well as World and European championships in 2009, 2011, 2017, and 2014, respectively. Abalo was named the French Division 1 Player of the Year in 2007 and the league's Best Right Wing in 2005, 2006, and 2007. He was inducted into the EHF Hall of Fame in 2024. Abalo's artistic talents extend beyond handball, as he designed a wristband to popularize the Paris bid for the 2024 Summer Olympics, which sold over one million copies. He is also an officer of the Ordre national du Mérite and the French Legion of Honour. ;https://handball-base.com/img-news/116/luc_abalo_retires.jpg
ABAROA Cesar;Chile;Rowing;César David Abaroa Pérez (born 18 November 1996) is a Chilean rower. He competed in the 2020 Summer Olympics. He won the silver medal in the lightweight double sculls at the 2023 Pan American Games.;
ABASS Abobakr;Sudan;Swimming;Abobakr Abass Fadlallah Jalab (born 1 November 1998) is a Sudanese swimmer. He represented Sudan at the 2019 World Aquatics Championships in Gwangju, South Korea. He competed in the men's 50 metre freestyle and men's 100 metre breaststroke events.;https://d2a3o6pzho379u.cloudfront.net/146622.jpg
ABBASALI Hamideh;Islamic Republic of Iran;Karate;Hamideh Abbasali, born on March 14, 1990, in Rey, Iran, is a prominent Iranian karateka known for her exceptional achievements in the sport. She has won five gold medals at the Asian Karate Championships from 2012 to 2017 and has represented Iran in international competitions, including the 2020 Summer Olympics. Abbasali has competed for notable clubs such as Al-Ahli Dubai and Al-Yarmouk, and she has been recognized for her contributions to karate in Iran. Despite facing a serious knee injury that affected her performance for nearly a year, she has shown remarkable resilience and dedication to her sport, aiming to achieve her Olympic dreams.;https://upload.wikimedia.org/wikipedia/commons/5/56/Hamideh_Abbasali_1397060317085381815149234.jpg
ABBASOV Islam;Azerbaijan;Wrestling;In March 2021, he qualified at the European Qualification Tournament to compete at the 2020 Summer Olympics in Tokyo, Japan. In June 2021, he won one of the bronze medals in his event at the 2021 Wladyslaw Pytlasinski Cup held in Warsaw, Poland. In 2022, he won the gold medal in his event at the Vehbi Emre & Hamit Kaplan Tournament held in Istanbul, Turkey. He won one of the bronze medals in the 87 kg event at the European Wrestling Championships held in Budapest, Hungary. He competed at the 2024 European Wrestling Olympic Qualification Tournament in Baku, Azerbaijan hoping to qualify for the 2024 Summer Olympics in Paris, France. He was eliminated in his first match and he did not qualify for the Olympics.;https://www.azernews.az/media/2017/05/18/islam_abbasov_180517.jpg
ABBINGH Lois;Netherlands;Handball;"
Lois Abbingh (born 13 August 1992) is a Dutch handball player who plays for Borussia Dortmund Handball and the Dutch national team. She was a part the Netherlands team that won the 2019 World Women's Handball Championship; the first title in the country's history.";https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Lois_Abbingh_4_20160925.jpg/500px-Lois_Abbingh_4_20160925.jpg
ABBOT Emily;Australia;Rhythmic Gymnastics;Emily Abbot (born 28 February 1997) is an Australian group rhythmic gymnast who represented Australia at the 2020 Summer Olympics. She won a gold medal at the 2021 Oceanic Championships with the Australian senior group and qualified a quota for the 2020 Olympic Games. She was selected to represent Australia at the 2020 Summer Olympics alongside Alexandra Aristoteli, Alannah Mathews, Himeka Onoda, and Felicity White. They were the first rhythmic gymnastics group to represent Australia at the Olympics. They finished fourteenth in the qualification round for the group all-around.;
