sport_name;sport_img;sport_description;participation_structure;sport_type;country_of_origin;country_flag_img;first_year_played;history_description;equipment
Archery;https://upload.wikimedia.org/wikipedia/commons/f/fc/Korea_Olympic_KiBobae_05_%287730586140%29.jpg;Archery is a precision sport that involves using a bow to propel arrows at a designated target. The fundamental objective is to shoot the arrows as close as possible to the center of the target face, which is typically marked with concentric scoring rings. In target archery, the most common competitive discipline, archers shoot a set number of arrows from a fixed distance at a stationary, circular target. Scoring is based on which ring the arrow penetrates, with the inner-most ring (the gold) yielding the highest point value, usually 10 points. If an arrow touches a line between two scoring zones, the higher score is awarded.;both;target_sport;United Kingdom;https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_the_United_Kingdom_%283-5%29.svg/1200px-Flag_of_the_United_Kingdom_%283-5%29.svg.png;20000;Archery has prehistoric roots, used globally for hunting and warfare. The sport’s competitive structure was significantly developed in medieval and early modern England. The Grand National Archery Society codified early competitive rules, establishing modern tournaments. Its popularity in the UK led to its inclusion in early modern sporting events. It was contested at the 1900 Olympic Games.;Bow, Arrows, Target, Armguard, Finger tab or release aid.
Artistic Gymnastics;https://content.olympics.com.au/public/2024-07/Untitled%20%2822%29.png;Artistic Gymnastics is a dynamic Olympic sport that showcases athletes' exceptional strength, flexibility, agility, and grace. It involves performing precise, choreographed routines on various pieces of apparatus. Men compete in six events: Floor Exercise, Pommel Horse, Still Rings, Vault, Parallel Bars, and Horizontal Bar. Women compete in four events: Vault, Uneven Bars, Balance Beam, and Floor Exercise. Routines are scored based on the difficulty of the skills performed and the perfection of their execution and artistry.;individual;athletic_sport;Greece;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Greece.svg/1200px-Flag_of_Greece.svg.png;1896;"The roots of gymnastics trace back to Ancient Greece, used for physical and military training. The term ""Artistic Gymnastics"" emerged in 19th-century Germany but the modern competitive form debuted in Athens. Competitions began to flourish in European athletic clubs during the 1800s. The sport was included in the program of the first modern Olympic Games in 1896. The women's program was later fully standardized by the 1950s.";Floor Mat, Vault Table, Uneven Bars (Women), Balance Beam (Women), Parallel Bars (Men), Horizontal Bar (Men), Pommel Horse (Men).
Artistic Swimming;https://res.cloudinary.com/usopc-prod/image/upload/v1704463720/NGB%20Artistic%20Swimming/Photos/IMG_1155.jpg;Artistic Swimming, formerly known as Synchronized Swimming, is a unique aquatic sport that blends elements of swimming, dance, and gymnastics. Athletes perform precise, choreographed routines in the water, synchronized with music from underwater speakers. The routines require immense strength, flexibility, endurance, and exceptional breath control to execute figures and acrobatic lifts without touching the pool bottom. Competitions feature solo, duet, and team events, and routines are judged on both technical execution and artistic impression. It is a highly demanding sport that showcases grace and athleticism.;both;water_sport;Canada;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/1200px-Flag_of_Canada_%28Pantone%29.svg.png;1891;"This sport evolved from life-saving techniques and ""water ballet"" popular in the late 19th century. Early competitions were recorded in Berlin and London, initially featuring men. Canadian and American pioneers significantly advanced the sport in the 1930s. The sport, then called Synchronized Swimming, gained Olympic status in 1984. FINA officially changed the name to Artistic Swimming in 2017.";Swimming Pool, Nose Clip, Speakers (underwater and above water), Swimsuit (themed/performance attire).
Athletics;https://people.com/thmb/N7xnlYWq830uZgDpE06ytyWOL7I=/4000x0/filters:no_upscale():max_bytes(150000):strip_icc():focal(739x298:741x300)/olympic-track-rules-finish-line-080624-f68bda2d773748e5a25309bbdf4ae41a.jpg;Athletics, commonly known as Track and Field in North America, is a diverse collection of competitive sports based on fundamental human movements. It encompasses four primary categories: running, walking, jumping, and throwing events. Running events range from short, explosive sprints to middle-distance, long-distance, and challenging relays or hurdles. Field events test power and technique, including jumps like the high jump and long jump, and throws like the javelin and discus. As one of the oldest and most universal sports, Athletics forms the core of the Summer Olympic Games and the World Athletics Championships. The main objective is to achieve the fastest time, greatest distance, or highest height in each specific discipline.;both;athletic_sport;Greece;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Greece.svg/1200px-Flag_of_Greece.svg.png;776;Running, jumping, and throwing are among the oldest competitive sports, originating with the Ancient Olympic Games in Olympia, Greece. The stadion footrace was the original event in 776 BC. Modern rules were largely defined in Western Europe and North America in the 19th century. Athletics remains the cornerstone of the modern Olympic Games since 1896.;Track and Field surface, Starting Blocks, Measuring Tapes, Timekeeping system, Javelin, Discus, Shot Put, Hammer, Vaulting Pole, Hurdles.
Badminton;https://olympics.bwfbadminton.com/wp-content/uploads/2024/05/20210730_1803_OlympicGames2020_BPYL5182-980x550.jpg;"Badminton is a fast-paced racket sport played on an indoor court, divided by a net, either as singles or doubles. Players use lightweight rackets to strike a unique projectile called a shuttlecock, or ""birdie,"" over the net. The objective is to score points by landing the shuttlecock within the opponent's court boundaries before they can successfully return it. Matches are typically played in a best-of-three games format, with each game usually played to 21 points. The sport demands exceptional fitness, including aerobic stamina, agility, power, and precise technical skill.";both;racket_sport;United Kingdom;https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_the_United_Kingdom_%283-5%29.svg/1200px-Flag_of_the_United_Kingdom_%283-5%29.svg.png;1873;The modern version developed from a game called Poona, played by British military officers in India during the 19th century. It was popularized upon their return to England at the Duke of Beaufort’s Badminton House. The sport's first set of official modern rules was formalized in Bath in 1873. The International Badminton Federation was established in 1934.;"Racket, Shuttlecock (or ""birdie""), Net, Court."
Baseball;https://www.japantimes.co.jp/uploads/imported_images/uploads/2021/08/np_file_104818.jpeg;"Baseball is a classic bat-and-ball sport played by two teams of nine players on a field with four bases set in a diamond shape. The objective is for the offensive team to score ""runs"" by having a batter hit a pitched ball and then successfully touch all four bases, starting at home plate. The defensive team, which includes a pitcher and fielders, attempts to get three opposing players ""out"" by catching batted balls, striking out the batter, or tagging base-runners. A game is typically divided into nine innings, with each team getting a turn to bat and field in each inning. The team that accumulates the most runs by the end of the final inning is declared the winner.";team;ball_sport;United States;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Flag_of_the_United_States_%28Pantone%29.svg/1200px-Flag_of_the_United_States_%28Pantone%29.svg.png;1845;"Baseball's origins are linked to English bat-and-ball games like rounders. The game was formalized in New York by Alexander Cartwright, who codified the modern ""Knickerbocker Rules."" The first recorded game under these rules was played in 1845. The sport spread rapidly, becoming America's ""national pastime"" by the late 19th century.";Bat, Ball, Gloves (fielder's and catcher's), Bases, Pitching Mound, Uniform/Cleats, Helmets.
Basketball;https://legacymedia.sportsplatform.io/image/upload/v1723314736/tlpqxxfiiz3gfmf5niwk.jpg;Basketball is a dynamic team sport played on a rectangular court between two teams of five players. The primary goal is to score points by shooting a ball through the opponent's elevated hoop, which is ten feet high. Players advance the ball by dribbling (bouncing it on the floor) or passing it to teammates. Baskets scored from inside the marked arc are typically worth two points, while shots from beyond the arc count for three points. The fast-paced game is divided into periods, and the team with the highest total score when time expires wins.;team;ball_sport;United States;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Flag_of_the_United_States_%28Pantone%29.svg/1200px-Flag_of_the_United_States_%28Pantone%29.svg.png;1891;Basketball was invented in December 1891 in Springfield, Massachusetts, by Canadian physical education instructor James Naismith. He created the indoor sport to keep athletes active during the New England winter. The original game used peach baskets as hoops and a soccer ball. The game spread quickly through the YMCA network and made its Olympic debut in 1936.;Ball, Hoops/Baskets (with backboards), Court, Scoreboard, Timekeeping device.
Beach Volleyball;https://img.olympics.com/images/image/private/t_s_16_9_g_auto/t_s_w1460/f_auto/primary/hlzjweqbxhmxxm5k8zbo;Beach volleyball is an exciting team sport played by two players per side on a sand court divided by a net. The main objective is to ground the ball on the opponent's side by hitting it over the net with hands or arms. Unlike indoor volleyball, the two players must cover the entire court, demanding exceptional agility and communication. Each team is permitted up to three touches to return the ball across the net, encouraging strategic use of the pass, set, and attack. Matches are typically played in a best-of-three set format, often utilizing the rally scoring system where a point is scored on every play.;team;ball_sport;United States;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Flag_of_the_United_States_%28Pantone%29.svg/1200px-Flag_of_the_United_States_%28Pantone%29.svg.png;1915;The sport is generally believed to have originated on Waikiki Beach, Hawaii, around 1915. It gained significant popularity in Santa Monica, California, during the 1920s with the establishment of courts. The game quickly evolved into the two-person competitive format. It gained professional status in the 1980s and was officially added to the Olympics in 1996.;Ball (slightly larger and softer than indoor ball), Net, Sand Court, Boundary lines.
Boxing;https://npr.brightspotcdn.com/dims3/default/strip/false/crop/4894x3262+0+0/resize/1100/quality/50/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F40%2Fe2%2F2e18d68043a2969c222c6963767d%2Fap24216601051200.jpg;Boxing is a combat sport and martial art featuring two opponents, generally of similar weight, fighting in a boxing ring. Contestants, wearing padded gloves, attempt to score points by landing forceful and effective punches on their adversary. A match is divided into a predetermined number of short intervals called rounds, supervised by a referee. A fighter can win by knockout (rendering the opponent unable to continue), disqualification, or by judges' decision based on accumulated points. This intense sport requires high levels of conditioning, strategy, and mental toughness.;individual;combat_sport;United Kingdom;https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_the_United_Kingdom_%283-5%29.svg/1200px-Flag_of_the_United_Kingdom_%283-5%29.svg.png;688;Boxing has ancient roots globally, but the modern, codified sport emerged in the United Kingdom. The Marquess of Queensberry Rules (1867) formalized the use of gloves, three-minute rounds, and the 10-second count. This development defined the sport as we know it today. Modern boxing became an official Olympic event in 1904.;Gloves, Mouthguard, Hand Wraps, Headgear (for amateurs/training), Ring (with ropes), Corner bucket/stool.
Canoe Slalom;https://foxriverkayakingcompany.com/wp-content/uploads/canoeing2016olympics.jpg;Canoe slalom is a thrilling whitewater sport where athletes race against the clock down a turbulent river course. The objective is to navigate a kayak (K1) or canoe (C1) through a series of hanging gates as quickly and cleanly as possible. Gates, colored green for downstream and red for upstream, must be negotiated in the correct direction and sequence. Time penalties—two seconds for touching a gate and a hefty fifty for missing one—are added to the paddler's total run time. The sport demands immense skill, precision, and physical strength to master the currents and secure the best possible final score.;both;water_sport;Switzerland;https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Flag_of_Switzerland_%28Pantone%29.svg/1200px-Flag_of_Switzerland_%28Pantone%29.svg.png;1933;Canoe slalom is a relatively modern sport, originating in Switzerland in 1933. The early races were conducted on flat water, mirroring ski slalom courses. The sport quickly moved to natural whitewater to increase the challenge. The International Canoe Federation (ICF) was established in 1946. It became a permanent Olympic sport in 1992.;Canoe or Kayak, Paddle, Helmet, Life Vest, Spray Skirt, Whitewater Course, Hanging Gates (poles).
